SCHNAME	N_PUPILS	KS1	KS2	P_SEN
Adel Primary School	244	14.9	31.1	6
Adel St John the Baptist Church of England Primary School	202	16.4	30.3	16
All Saints CofE Primary School	263	16.1	31.8	14
All Saint's Richmond Hill Church of England Primary School	273	13.5	29.5	24
Allerton Bywater Primary School	268	14.7	28.4	59
Allerton CofE Primary School	345	13.0	26.8	22
Alwoodley Primary School	501	15.5	30.3	11
Armley Primary School	178	12.8	27.8	69
Ashfield Primary School	200	15.7	29.1	24
Asquith Primary School	273	14.0	27.8	9
Austhorpe Primary School	209	15.6	28.4	12
Bankside Primary School	683	13.1	27.8	26
Bardsey Primary School	163	16.1	30.3	0
Barwick-in-Elmet Church of England Voluntary Controlled Primary School	154	17.7	29.5	19
Beechwood Primary School	428	14.1	28.2	20
Beecroft Primary School	275	16.9	29.7	12
Beeston Hill St Luke's Church of England Primary School	397	15.1	30.8	25
Beeston Primary School	561	14.8	26.1	26
Birchfield Primary School	254	15.9	28.6	4
Blackgates Primary School	370	14.5	27.7	40
Blenheim Primary School	273	12.0	27.9	25
Bracken Edge Primary School	369	12.3	26.0	20
Bramhope Primary School	273	17.0	31.5	15
Bramley Primary School	247	13.0	27.5	23
Bramley St Peter's Church of England Primary School	250	13.3	26.1	33
Broadgate Primary School	245	15.6	28.5	10
Brodetsky Primary School	259	16.1	28.7	21
Brudenell Primary School	241	14.5	26.3	28
Burley St Matthias Church of England Voluntary Controlled Primary School	158	13.6	24.4	33
Calverley Church of England Voluntary Controlled Primary School	291	15.6	29.8	11
Calverley Parkside Primary School	249	15.2	28.2	21
Carlton Primary School	343	15.3	29.0	11
Carr Manor Primary School	500	14.6	27.7	23
Castleton Primary School	280	12.5	28.3	51
Chapel Allerton Primary School	469	14.2	27.1	12
Christ Church Upper Armley Church of England Voluntary Controlled Primary School	174	14.3	26.0	16
Christ The King Catholic Primary School	177	15.8	26.7	34
Churwell Primary School	459	14.4	28.6	8
Clapgate Primary School	309	13.5	24.7	20
Cobden Primary School	227	13.7	28.2	27
Collingham Lady Elizabeth Hastings' Church of England Primary School	209	16.0	30.9	20
Colton Primary School	250	16.4	30.1	14
Cookridge Holy Trinity Church of England Primary School	402	16.7	29.5	2
Cookridge Primary School	304	14.2	28.0	13
Corpus Christi Catholic Primary School	361	13.9	29.6	25
Cross Gates Primary School	213	13.9	28.9	18
Crossley Street Primary School	245	14.8	29.5	18
Deighton Gates Primary School	203	17.0	31.2	17
Drighlington Primary School	434	13.6	27.8	30
East Ardsley Primary School	389	15.3	28.0	4
East Garforth Primary School	337	15.5	28.2	5
Ebor Gardens Primary School	357	12.5	27.6	63
Farsley Farfield Primary School	418	14.9	28.7	16
Farsley Springbank Junior School	214	15.2	29.5	9
Fieldhead Carr Primary School	233	15.1	28.6	22
Five Lanes Primary School	482	13.6	25.4	17
Fountain Primary School	439	14.1	27.6	18
Gildersome Primary School	241	15.0	29.0	13
Gledhow Primary School	488	14.5	28.5	31
Grange Farm Primary School	404	14.4	27.4	23
Great Preston VC CofE Primary School	207	14.9	27.1	34
Green Lane Primary Academy	398	16.1	29.8	15
Greenhill Primary School	361	14.0	26.5	11
Greenmount Primary School	435	12.3	28.1	16
Greenside Primary School	309	15.9	29.9	6
Grimes Dyke Primary School	242	13.1	27.6	25
Harehills Primary School	725	12.1	26.3	33
Harewood Church of England Voluntary Controlled Primary School	102	16.4	30.8	0
Hawksworth Church of England Primary School	103	16.8	30.8	6
Hawksworth Wood Primary School	191	13.6	30.0	18
Highfield Primary School	374	16.7	30.7	12
Hill Top Primary School	248	15.5	30.3	5
Hillcrest Primary School	433	10.5	23.9	24
Hollybush Primary	353	11.5	25.1	41
Holy Family Catholic Primary School	231	14.5	29.5	25
Holy Name Catholic Primary School	204	16.2	28.9	36
Holy Rosary and St Anne's Catholic Primary School	243	14.8	26.8	42
Horsforth Newlaithes Primary School	323	16.7	29.8	10
Hovingham Primary School	489	11.6	24.9	29
Hugh Gaitskell Primary School	534	13.0	26.2	32
Hunslet Carr Primary School	393	13.2	26.6	22
Hunslet Moor Primary School	379	10.6	25.1	39
Hunslet St Mary's Church of England Primary School	198	14.6	28.0	19
Immaculate Heart of Mary Catholic Primary School	406	15.8	29.2	4
Ingram Road Primary School	285	10.9	22.0	27
Ireland Wood Primary School	297	11.5	24.6	34
Iveson Primary School	210	12.7	25.0	28
Kerr Mackie Primary School	468	13.7	27.8	15
Kippax Ash Tree Primary School	369	14.0	28.1	22
Kippax Greenfield Primary School	163	15.3	28.4	10
Kippax North Junior, Infant & Nursery School	213	16.5	28.1	8
Kirkstall St Stephen's Church of England Primary School	196	15.2	27.9	20
Kirkstall Valley Primary School	227	15.6	28.6	13
Lady E Hastings CofE Primary School	136	16.0	28.8	10
Lady Elizabeth Hastings' Church of England Primary School, Thorp Arch	135	15.4	29.2	5
Lawns Park Primary School	259	15.5	29.7	14
Little London Community Primary School and Nursery	251	13.5	26.9	32
Low Road Primary School	144	13.1	26.3	8
Lower Wortley Primary School	351	15.0	29.2	9
Lowtown Primary School	211	15.7	29.3	37
Manston Primary School	189	16.1	31.7	8
Manston St James Church of England Primary School	411	15.5	28.4	9
Meadowfield Primary School	466	11.7	25.6	40
Meanwood Church of England Primary School	215	15.9	30.6	10
Methley Primary School	486	14.0	28.9	12
Micklefield Church of England Voluntary Controlled Primary School	110	12.1	25.6	17
Middleton Primary School	367	13.0	28.1	31
Middleton St Mary's Church of England Voluntary Controlled Primary School	430	15.0	27.0	20
Mill Field Primary School	336	12.2	24.3	40
Moor Allerton Hall Primary School	394	13.2	26.2	23
Moortown Primary School	206	14.6	30.3	37
Morley Newlands Primary School	438	15.6	28.7	14
Morley Victoria Primary School	492	15.8	30.1	18
The New Bewerley Community Primary School	346	13.1	25.9	45
Ninelands Primary School	447	15.4	28.1	6
Oakwood Primary School	470	13.1	25.7	31
Otley the Whartons Primary School	198	17.0	29.6	11
Oulton Primary School	324	14.9	27.8	16
Our Lady of Good Counsel Catholic Primary School	230	13.6	26.1	17
Park Spring Primary School	272	15.0	28.0	10
Park View Primary Academy	250	14.0	28.4	33
Parklands Primary School	250	13.6	26.2	30
Pool-in-Wharfedale Church of England Voluntary Controlled Primary School	198	16.1	28.7	18
Primrose Lane Primary School	244	15.6	29.3	12
Pudsey Bolton Royd Primary School	462	13.2	26.0	29
Pudsey Primrose Hill Primary School	410	15.1	29.4	21
Pudsey Tyersal Primary School	241	13.0	25.9	9
Pudsey Waterloo Primary	424	14.2	27.9	6
Quarry Mount Primary School	175	12.8	27.1	17
Queensway Primary School	238	14.7	27.9	8
Rawdon Littlemoor Primary School	319	15.0	29.6	17
Rawdon St Peter's Church of England Voluntary Controlled Primary School	309	16.4	28.5	14
Raynville Primary School	457	12.9	26.4	30
Richmond Hill Primary School	342	9.0	22.9	36
Robin Hood Primary School	373	15.3	29.0	4
Rosebank Primary School	264	13.4	27.1	39
Rothwell Church of England Voluntary Controlled Primary School	181	15.4	27.0	11
Rothwell Primary School	341	14.9	30.1	34
Rothwell St Mary's RC Primary School	209	17.0	29.3	18
Roundhay St John's Church of England Primary School	263	15.9	29.5	16
Rufford Park Primary School	213	16.0	28.9	17
Ryecroft Primary School	172	12.7	24.6	20
Sacred Heart Catholic Primary School	205	11.6	27.6	12
St Anthony's Catholic Primary School, Beeston	208	16.3	31.1	24
St Augustine's Catholic Primary School	470	14.4	27.5	21
St Bartholomew's CofE Voluntary Controlled Primary School	520	14.8	29.9	28
St Benedict's Catholic Primary School	228	15.5	29.3	20
St Chad's Church of England Primary School	254	15.5	28.6	13
St Edward's Catholic Primary School, Boston Spa	150	16.1	32.6	21
St Francis Catholic Primary School, Morley	138	14.1	28.8	21
St Francis of Assisi Catholic Primary School	216	13.4	26.6	67
St James' Church of England Voluntary Controlled Primary School	79	12.9	23.4	28
St Joseph's Catholic Primary School, Hunslet	189	12.3	27.1	38
St Joseph's Catholic Primary School, Otley	191	16.4	28.3	47
St Joseph's Catholic Primary School, Pudsey	221	16.8	30.0	6
St Joseph's Catholic Primary School, Wetherby	237	17.2	32.0	16
St Margaret's Church of England Voluntary Controlled Primary School	423	16.1	29.4	7
St Mary's Catholic Primary School, Horsforth	209	16.8	30.6	10
St Mary's Church of England Controlled Primary School Boston Spa	150	15.2	30.3	24
St Matthew's Church of England Aided Primary School	405	15.0	29.0	11
St Nicholas Catholic Primary School	279	13.8	28.5	16
St Oswald's Church of England Junior School	279	15.3	28.4	11
St Patrick Catholic Primary School	212	15.1	30.6	16
St Paul's Catholic Primary School	208	16.0	29.7	13
St Peter's Church of England Primary School, Leeds	260	14.3	29.3	20
St Philip's Catholic Primary and Nursery School	230	15.5	28.5	29
St Theresa's Catholic Primary School	506	15.0	27.9	24
St Urban's Catholic Primary School	207	16.1	29.8	7
Ss Peter and Paul Catholic Primary School, Yeadon	212	16.5	30.6	10
Scholes (Elmet) Primary School	297	16.3	29.5	22
Seacroft Grange Primary School	220	13.0	26.9	27
Seven Hills Primary School	464	14.6	28.6	14
Shadwell Primary School	211	16.5	31.5	13
Shakespeare Primary School	369	12.3	27.6	42
Sharp Lane Primary School	456	13.4	26.1	44
Shire Oak VC Primary School	203	14.6	26.7	20
Southroyd Primary and Nursery School	465	15.1	27.6	31
Spring Bank Primary School	210	15.8	30.7	17
Stanningley Primary School	257	15.0	28.4	12
Strawberry Fields Primary School	357	15.9	28.8	7
Summerfield Primary School	248	14.0	26.3	23
Swarcliffe Primary School	280	14.0	26.1	43
Swillington Primary School	225	13.2	27.0	28
Swinnow Primary School	261	15.0	29.7	11
Talbot Primary School	492	16.4	31.0	12
Templenewsam Halton Primary School	499	15.3	28.8	10
Thorner Church of England Voluntary Controlled Primary School	179	15.6	28.1	34
Thorpe Primary School	208	12.5	28.7	29
Tranmere Park Primary School	332	17.6	31.6	11
Valley View Community Primary School	224	14.8	28.4	28
Victoria Junior School	141	15.8	29.0	3
Victoria Primary School	428	13.5	26.1	12
Weetwood Primary School	256	15.8	29.8	10
West End Primary School	254	16.4	30.4	17
Westbrook Lane Primary School	214	15.6	30.2	12
Westerton Primary School	735	16.4	29.8	7
Westgate Primary School	264	16.1	28.7	16
Westwood Primary School	305	13.6	27.5	27
Whingate Primary School	463	15.0	28.2	15
Whinmoor St Paul's Church of England Primary School	200	15.1	27.7	30
White Laith Primary School	211	14.8	30.1	28
Whitecote Primary School	456	14.2	26.6	12
Whitkirk Primary School	352	14.7	26.9	11
Wigton Moor Primary School	405	16.4	29.5	26
Windmill Primary School	340	12.1	27.0	41
Woodlesford Primary School	473	15.8	28.0	13
Wykebeck Primary School	376	11.7	24.1	9
Yeadon Westfield Junior School	213	16.2	28.9	13
Ackton Pastures Primary School	290	11.2	25.4	68
Ackworth Howard Church of England Voluntary Controlled Junior and Infant School	175	16.0	28.9	36
Ackworth Mill Dam Junior and Infant School	112	15.1	28.4	14
Airedale Junior School	349	15.1	27.0	30
All Saints Featherstone CofE (VA) Junior Infant and Nursery School	199	13.7	25.5	33
Alverthorpe St Paul's CofE (VA) School 3-11yrs	281	16.1	29.1	17
Ash Grove Junior and Infant School	291	13.4	25.9	29
Badsworth Church of England Voluntary Controlled Junior and Infant School	208	17.3	31.0	13
Bell Lane Primary (J and I) School	259	14.6	28.6	6
Castleford Half Acres Primary School	248	15.6	29.2	20
Castleford Oyster Park Primary School	433	14.1	25.2	43
Castleford Park Junior School	307	16.0	26.5	31
Castleford Redhill Junior School	154	16.7	27.3	20
Castleford Three Lane Ends Community Primary School	347	14.6	28.3	26
Cobblers Lane Primary School	310	15.1	27.0	29
Crigglestone Dane Royd Junior and Infant School	320	15.3	28.7	16
Crigglestone Mackie Hill Junior and Infant School	157	11.9	25.3	66
Crigglestone St James CofE Primary Academy	315	17.5	31.2	11
Crofton Junior School	205	15.3	29.6	16
Darrington Church of England Voluntary Controlled Junior and Infant School	100	17.5	28.8	7
English Martyrs Catholic Primary School	252	12.5	26.2	36
Featherstone North Featherstone Junior and Infant School	313	15.8	29.5	17
Featherstone Purston St Thomas Church of England Voluntary Controlled Junior School	204	15.5	28.6	30
Fitzwilliam Primary School	223	14.0	26.7	9
Flanshaw St Michaels CofE (Voluntary Controlled) Primary (NIJ) School	443	14.0	25.6	24
Gawthorpe Community Academy	252	16.5	30.8	27
Havercroft Junior Infant and Nursery School	212	13.7	25.1	41
Hemsworth Grove Lea Primary School	258	15.1	28.0	14
Hemsworth St Helens Church of England Voluntary Aided Junior and Infant School	196	13.3	25.2	34
Hemsworth West End Primary School	250	13.8	25.7	15
Hendal Primary School	305	13.3	27.8	51
Holy Family and St Michael's Catholic Primary School, Pontefract	140	14.7	29.4	31
Horbury Bridge Church of England Junior and Infant Academy	127	15.5	29.7	38
Horbury Primary School	491	18.2	29.6	5
Horbury St Peter's and Clifton CofE (VC) Primary School	328	15.4	28.1	37
Infant School Moorthorpe Primary (J and I ) School	224	14.4	27.9	20
Jerry Clay Academy	204	17.1	28.4	17
Kinsley Primary (J and I) School	209	12.9	24.6	24
Kirkhamgate Primary School	139	13.6	29.5	27
Knottingley Church of England Voluntary Controlled Junior and Infant School	308	13.6	27.4	22
Knottingley England Lane Junior Infant and Nursery School	208	14.1	25.8	20
Lofthouse Gate Primary School	449	15.3	31.5	16
Methodist Voluntary Controlled Junior and Infant School: With Communication Resource	237	14.7	27.2	22
Newlands Primary School	214	11.5	25.7	21
Newton Hill Community School	196	14.6	27.8	22
Normanton Altofts Junior School	262	15.9	29.3	27
Normanton Common Primary School	371	14.1	28.5	18
Normanton Junior School	307	16.9	28.4	10
Northfield Primary School: With Communication Resource	345	15.2	27.7	33
Ossett Flushdyke Junior and Infant School	120	16.2	30.1	9
Ossett Holy Trinity CofE VA Primary School	359	16.4	30.1	14
Ossett South Parade Primary	379	14.7	29.3	32
Ossett Southdale Church of England Voluntary Controlled Junior School	279	16.9	29.7	9
Outwood Ledger Lane Junior and Infant School	265	15.9	30.4	18
Pontefract Carleton Park Junior and Infant School	208	15.6	28.9	17
Pontefract De Lacy Primary School	312	14.1	25.5	45
Pontefract Halfpenny Lane Junior Infant and Nursery School	427	14.1	28.4	20
Pontefract Larks Hill Junior and Infant School	210	15.7	28.0	20
Pontefract Orchard Head Junior and Infant School	310	13.5	27.2	8
The Rookeries Carleton Junior and Infant School: With Hearing Impairment Resource	216	14.8	26.2	12
Rooks Nest Academy	352	17.4	32.0	8
Ryhill Junior, Infant and Nursery School	222	13.4	27.2	15
Sacred Heart Catholic Primary School	106	13.8	25.5	26
St Austin's Catholic Primary School	317	14.7	28.7	29
St Giles CofE (VA) J&I Pontefract	243	13.9	26.7	39
St Ignatius Catholic Primary School	155	15.6	30.0	21
St. John the Baptist Catholic Primary School	253	16.7	28.0	16
St Joseph's Catholic Primary School	256	16.7	31.4	24
St Joseph's Catholic Primary School Castleford	210	16.4	28.5	19
St Joseph's Catholic Primary School, Moorthorpe	203	15.6	29.1	14
Sandal Endowed Church of England Voluntary Aided Junior School	271	16.7	28.6	25
Sharlston Community School (3-11): With Visual Impairment Resource	236	15.4	28.9	21
Shay Lane Primary (J and I) School	206	11.7	24.1	62
Simpson's Lane Academy	290	13.8	27.0	33
Sitlington Middlestown Junior and Infant School	209	14.2	27.0	23
Sitlington Netherton Junior and Infant School	234	16.0	28.9	24
Smawthorne Henry Moore Primary School, Castleford	444	13.5	26.5	21
South Elmsall Carlton Junior and Infant School	322	14.0	26.4	18
South Hiendley Junior Infant and Early Years School	207	13.6	26.1	37
Stanley Grove Primary and Nursery School	198	16.0	28.1	16
Stanley St Peters Church of England Voluntary Controlled Primary School	337	14.9	27.5	15
Stockingate Mill Junior School	203	14.7	27.1	19
Streethouse, Junior, Infant and Nursery	106	13.9	29.3	27
Towngate Primary School	248	13.4	26.8	14
Upton Primary School	461	13.8	26.4	30
The Vale Primary Academy	241	14.3	29.8	19
Wakefield Flanshaw Junior and Infant School	395	14.1	27.0	20
Wakefield Greenhill Primary School	249	14.5	31.2	20
Wakefield Heath View Community Primary School JIN	349	14.1	25.7	43
Wakefield Lawefield Primary School	237	14.1	27.7	15
Wakefield Pinders Primary (JIN) School	264	13.7	28.1	22
Wakefield St Johns Church of England Voluntary Aided Junior and Infant School	209	15.1	28.8	10
Wakefield St Marys Church of England Voluntary Aided Primary School	231	12.8	25.6	27
Wakefield Sandal Magna Junior and Infants School	253	13.8	24.4	46
Wakefield Snapethorpe Primary School	558	12.5	27.9	38
Wakefield the Mount Junior and Infant School	186	14.0	25.8	23
Walton Primary School	344	16.4	31.0	17
Willow Green Academy	227	17.3	29.2	25
Wrenthorpe Primary School	244	16.5	29.7	6
Barley Mow Primary School	217	13.0	28.0	28
Bede Community Primary School	142	13.6	27.8	8
Bill Quay Primary School	211	15.8	27.7	36
Birtley East Community Primary School	234	13.3	27.5	37
Blaydon West Primary School	152	15.6	29.3	5
Brandling Primary School	117	13.3	26.9	47
Brighton Avenue Primary School	258	11.8	27.8	31
Caedmon Community Primary School	250	13.3	27.1	39
Carr Hill Community Primary School	363	15.0	28.9	36
Chopwell Primary School	225	14.5	28.5	43
Clover Hill Community Primary School	204	16.7	31.6	19
Colegate Community Primary School	264	14.7	27.5	23
Corpus Christi Catholic Primary School	221	16.0	29.2	31
Crookhill Community Primary School	138	16.8	29.3	37
The Drive Community Primary School	207	13.7	29.0	52
Dunston Hill Community Primary School	459	14.8	27.7	14
Emmaville Primary School	260	14.7	29.3	25
Falla Park Community Primary School	242	13.5	28.3	22
Fell Dyke Community Primary School	283	14.9	29.6	29
Fellside Community Primary School	263	17.3	32.3	0
Front Street Community Primary School	433	14.9	30.9	20
Glynwood Community Primary School	258	13.5	29.5	20
Greenside Primary School	158	13.5	28.9	28
Harlow Green Community Primary School	378	13.6	29.0	11
High Spen Primary School	162	16.3	29.9	9
Highfield Community Primary School	141	15.4	29.0	30
Kells Lane Primary School	419	16.5	31.1	8
Kelvin Grove Community Primary School	298	13.3	28.3	30
Kibblesworth Academy	149	15.2	29.4	21
Larkspur Community Primary School	199	13.1	26.9	37
Lingey House Primary School	397	13.6	28.1	12
Lobley Hill Primary School	406	13.2	28.1	27
Oakfield Junior School	238	17.6	30.8	21
Parkhead Community Primary School	357	14.2	27.9	7
Portobello Primary School	209	15.9	29.8	6
Ravensworth Terrace Primary School	203	14.7	31.5	19
Riverside Primary Academy	212	13.6	29.7	24
Roman Road Primary School	187	12.6	29.8	39
Rowlands Gill Community Primary School	339	15.4	30.9	21
Ryton Junior School	196	16.5	29.9	24
Sacred Heart RC Voluntary Aided Primary School	98	14.3	30.5	10
St Agnes' Catholic Primary School	206	16.9	29.5	25
St Aidan's Church of England Primary School	211	14.0	28.4	6
St Alban's Catholic Primary School	246	16.5	29.5	17
St Anne's Catholic Primary School	188	15.0	28.2	10
St Augustine's Roman Catholic Voluntary Aided Primary School	359	15.0	29.6	26
St Joseph's Catholic Junior School, Birtley	108	16.7	30.8	16
St Joseph's Catholic Primary School, Blaydon	209	15.2	29.2	24
St Joseph's Roman Catholic Voluntary Aided Primary School, Gateshead	197	13.5	28.6	23
St Joseph's Roman Catholic Voluntary Aided Primary School, Highfield	125	16.2	28.1	25
St Mary and St Thomas Aquinas Catholic Primary School	251	16.7	31.0	4
St Mary's Roman Catholic Primary School	209	14.2	28.3	6
St Oswald's Roman Catholic Voluntary Aided Primary School	238	12.7	27.5	25
St Peter's Roman Catholic Voluntary Aided Primary School	211	16.1	31.7	3
St Philip Neri Roman Catholic Primary School	120	14.0	27.8	18
St Wilfrid's Roman Catholic Voluntary Aided Primary School	101	13.6	27.0	36
South Street Community Primary School	320	13.1	28.7	32
Swalwell Primary School	152	15.0	30.1	15
Wardley Primary School	309	15.7	29.5	12
Washingwell Community Primary School	182	14.4	25.0	35
Whickham Parochial Church of England Primary School	207	17.2	31.8	14
White Mere Community Primary School	169	16.3	29.2	21
Windy Nook Primary School	345	15.5	29.7	16
Winlaton West Lane Community Primary School	308	14.8	28.3	42
Atkinson Road Primary School	373	13.4	26.7	56
Beech Hill Primary School	369	14.4	28.8	38
Benton Park Primary School	327	15.6	31.1	19
Bridgewater Primary School	227	13.4	28.0	26
Broadwood Primary School	282	14.2	27.0	32
Byker Primary School	320	13.0	27.6	23
Canning Street Primary School	475	13.0	27.4	35
Central Walker Church of England Voluntary Controlled Primary School	400	13.9	26.8	32
Cheviot Primary School	194	13.3	26.1	33
Chillingham Road Primary School	211	14.8	29.1	60
Christ Church CofE Primary School	109	14.6	27.4	36
Cragside Primary School	407	17.3	30.0	9
English Martyrs' RC Primary School	470	14.5	28.9	25
Farne Primary School	247	16.6	29.8	24
Gosforth Central Middle School	501	16.8	29.9	17
Gosforth East Middle School	463	16.7	28.9	20
Gosforth Junior High Academy	436	15.8	28.3	15
Hawthorn Primary School	196	13.0	28.4	24
Hotspur Primary School	403	14.7	28.4	28
Kenton Bar Primary School	252	11.4	27.0	40
Kingston Park Primary School	456	15.0	29.3	26
Knop Law Primary School	396	16.8	32.0	9
Lemington Riverside Primary School	158	16.5	30.6	8
Milecastle Primary School	240	16.6	29.9	23
Moorside Community Primary School	457	12.5	27.6	37
Mountfield Primary School	209	13.5	25.3	40
Newburn Manor Primary School	195	15.2	29.3	27
North Fawdon Primary School	149	14.2	26.3	33
Our Lady and St Anne's RC Primary School	247	14.5	27.9	21
Ravenswood Primary School	580	16.3	29.4	12
Sacred Heart RC Primary School	210	16.4	29.8	20
St Alban's RC Primary School	233	15.1	28.4	13
St Bede's RC Primary School	212	15.9	30.2	30
St Catherine's RC Primary School	229	14.3	26.6	28
St Charles' RC Primary School	206	17.7	31.9	6
St Cuthbert's Catholic Primary School	255	15.2	29.8	24
St Cuthbert's RC Primary School	140	16.0	30.7	15
St George's RC Primary School	84	14.4	27.8	57
St John Vianney RC Primary School	237	16.8	32.1	19
St Johns Primary School	220	14.2	27.0	28
St Joseph's RC Primary School	207	14.8	28.2	15
St Lawrence's RC Primary School	208	14.6	26.4	34
St Mark's RC Primary School	196	15.4	28.8	16
St Michael's RC Primary School	215	14.0	29.2	45
St Oswald's RC Primary School	212	16.8	32.3	10
St Paul's CofE Primary School	239	12.3	27.7	28
St Teresa's Catholic Primary School	216	17.2	30.5	15
St Vincent's RC Primary School	184	15.9	27.4	19
Simonside Primary School	198	13.3	27.1	30
Stocksfield Avenue Primary School	470	16.9	28.7	25
Thomas Walling Primary School	403	13.6	28.1	29
Throckley Primary School	230	14.8	29.3	13
Tyneview Primary School	193	14.0	28.0	27
Walbottle Village Primary School	133	14.4	31.7	16
Walkergate Primary School	516	13.8	27.7	29
Waverley Primary School	313	15.5	27.5	19
Welbeck Academy	390	13.0	25.9	38
West Denton Primary School	309	14.8	29.3	23
West Jesmond Primary School	579	17.2	31.7	16
West Walker Primary School	204	14.2	27.9	24
Westerhope Primary School	437	14.8	29.5	19
Westgate Hill Primary School	446	12.5	26.3	16
Wingrove Primary School	449	12.7	25.8	34
Wyndham Primary School	222	14.6	27.5	43
Amberley Primary School	376	15.3	29.2	20
Backworth Park Primary School	138	15.2	27.3	17
Bailey Green Primary School	434	15.2	29.9	20
Balliol Primary School	151	13.4	28.0	37
Battle Hill Primary School	363	13.0	26.5	42
Benton Dene Primary School	468	16.2	29.6	32
Burradon Community Primary School	186	15.5	29.2	18
Carville Primary School	167	12.7	26.2	25
Christ Church CofE Primary School	170	14.3	29.6	18
Collingwood Primary School	332	13.5	26.5	23
Cullercoats Primary School	398	15.9	30.2	4
Denbigh Community Primary School	355	14.1	28.6	18
Fordley Community Primary School	338	14.7	28.8	45
Forest Hall Primary School	231	15.5	29.1	29
Grasmere Academy	126	11.7	23.2	69
Greenfields Community Primary School	346	16.2	29.7	16
Hadrian Park Primary School	349	15.8	28.4	13
Hazlewood Community Primary School	178	15.8	29.0	25
Holy Cross Roman Catholic Primary School Aided	230	15.7	28.6	28
Holystone Primary School	472	15.2	29.5	29
Ivy Road Primary School	174	13.6	29.5	18
King Edward Primary School	439	15.9	29.3	8
Marden Bridge Middle School	478	16.2	28.8	16
Monkhouse Primary School	195	14.7	27.1	33
Monkseaton Middle School	305	16.5	28.4	25
New York Primary School	278	14.1	29.5	33
Percy Main Primary School	217	13.7	28.4	50
Preston Grange Primary School	203	15.4	28.9	13
Priory Primary School	422	16.6	31.2	12
Redesdale Primary School	259	15.9	28.1	4
Richardson Dees Primary School	227	14.1	27.4	24
Riverside Primary School	170	15.4	28.4	40
St Bartholomew's Church of England Primary School (Aided)	192	16.8	30.1	14
St Bernadettes Roman Catholic Primary School Aided	364	15.3	28.7	14
St Columbas Roman Catholic Primary School Aided	250	15.0	29.2	20
St Cuthberts Roman Catholic Primary School Aided	218	14.9	28.1	33
St Josephs Roman Catholic Primary School Aided	343	13.4	27.6	36
St Marys Roman Catholic Primary School Aided	257	17.1	30.3	4
St Marys Roman Catholic Primary School Aided	156	15.1	29.2	26
St Stephens Roman Catholic Primary School Aided	224	14.1	27.6	39
Shiremoor Primary School	403	14.9	28.1	30
Spring Gardens Primary School	428	15.3	28.2	25
Star of the Sea RC VA Primary	451	16.5	28.6	13
Stephenson Memorial Primary School	394	13.9	27.3	22
Valley Gardens Middle School	731	17.2	29.9	15
Wallsend Jubilee Primary School	351	14.9	29.9	10
Wallsend St Peter's CofE Aided Primary School	227	16.3	29.4	37
Waterville Primary School	228	13.9	29.7	36
Wellfield Middle School	312	16.7	29.4	35
Western Community Primary School	448	15.0	29.3	17
Westmoor Primary School	357	15.5	30.1	7
Whitehouse Primary School	163	12.8	28.1	18
Ashley Primary School	470	15.1	27.6	26
Bede Burn Primary School	191	14.7	28.3	28
Biddick Hall Junior School	205	15.0	30.5	17
Cleadon Village Church of England VA Primary School	419	16.1	31.0	12
Dunn Street Primary School	123	13.1	24.8	50
East Boldon Junior School	234	17.8	30.8	18
Fellgate Primary School	126	11.8	23.8	41
Forest View Primary	301	15.8	28.0	23
Hadrian Primary School	309	12.8	29.0	23
Harton Primary School	690	15.4	28.5	19
Hebburn Lakes Primary School	399	12.6	27.4	21
Hedworth Lane Primary School	308	14.2	28.0	21
Hedworthfield Primary School	245	11.1	27.7	56
Holy Trinity CofE VA Primary School	217	11.2	27.4	38
Jarrow Cross CofE Primary School	194	13.9	27.7	21
Laygate Community School	236	13.2	26.7	29
Lord Blyton Primary School	116	14.6	28.5	46
Marine Park Primary School	205	12.2	29.3	69
Marsden Primary School	231	14.4	27.9	24
Monkton Junior School	139	16.0	26.7	19
Mortimer Primary School	630	15.5	28.5	18
Ridgeway Primary School	194	12.4	26.2	26
St Aloysius' RC Voluntary Aided Junior School	229	15.6	28.9	14
St Bede's RC Primary School, Jarrow	186	13.1	28.7	32
St Bede's RC Voluntary Aided Primary School, South Shields	231	15.6	29.4	25
St Gregory's RC Voluntary Aided Primary School	211	17.5	30.9	17
St James' RC Voluntary Aided Primary School	194	15.2	29.7	27
St Joseph's RC Voluntary Aided Primary School	199	14.4	30.0	17
St Mary's RC Voluntary Aided Primary School	263	14.7	28.6	26
St Matthew's RC Voluntary Aided Primary School	211	17.4	29.9	20
St Oswald's CofE Aided Primary School	220	16.4	28.4	23
St Oswald's RC Voluntary Aided Primary School	235	15.6	28.5	29
SS Peter and Paul RC Voluntary Aided Primary School	245	15.2	28.0	29
Sea View Primary School	353	14.4	28.5	16
Simonside Primary School	177	14.5	29.6	24
Stanhope Primary School	241	12.9	27.8	52
Toner Avenue Primary School	258	15.3	27.8	18
Valley View Primary School	278	14.3	30.1	27
West Boldon Primary School	272	16.3	29.5	32
Westoe Crown Primary School	674	14.9	29.8	6
Whitburn Village Primary School	255	15.9	28.1	8
Academy 360	883	13.0	27.8	26
Albany Village Primary School	224	12.7	27.5	29
Barmston Village Primary School	236	13.4	29.9	24
Barnes Junior School	284	16.0	27.5	27
Barnwell Primary School	273	15.9	29.2	19
